NAME,LATITUDE,LONGITUDE
Marmara Veteriner Kliniði,40.979645135000055,29.05070181700006
Ýstanbul Üniversitesi-Cerrahpaþa Týp Fakültesi Kulak Burun Boðaz Ana Bilim Dalý,41.00354611200004,28.94229438600007
Özel Saradent Aðýz ve Diþ Saðlýðý Polikliniði,40.82681499000006,29.355745385000034
Atalay Veteriner Kliniði,40.96939783500005,29.085751581000068
Medipol Üniversitesi Hastanesi Kadýköy,41.00466311300005,29.034347841000056
Fatih 9 Nolu Aile Saðlýðý Merkezi,41.014479006000045,28.93787182700004
Özel Fatih Nur Polikliniði,41.026209910000034,28.940025348000063
Karadeniz Aile Saðlýðý Merkezi,41.08238507900006,28.88256163500006
Özel Denteuropa Aðýz ve Diþ Saðlýðý Polikliniði,41.02372990600003,29.04231156900005
Özel Ultra Emar Ýleri Görüntüleme ve Taný Merkezi,41.01442393000008,28.93348637200006
Adalar 1 Nolu Acil Yardým Ýstasyonu,40.87467383200004,29.13274603700006
Sarýyer Ýsmail Akgün Devlet Hastanesi Ek Hizmet Binasý,41.169163688000026,29.056599102000064
Hadýmköy Aile Saðlýðý Merkezi,41.15615740000004,28.624629421000066
Melek Optik,41.17842112500006,28.746143112000027
Gümüþdere Aile Saðlýðý Merkezi,41.236665619000064,28.983905436000043
Haseki Eðitim ve Araþtýrma Hastanesi Fatih Semt Polikliniði,41.022795390000056,28.94458123100003
Merkez Veteriner Kliniði,41.07587487800004,28.242870952000036
Diþ Hekimi Bilal Kapalý Yoldaþ,41.12841655500006,29.04786351200005
Özel Protesis Protez-Ortez Yapým ve Uygulama Merkezi,41.01102036700007,28.94128818700005
Özel Patomer Patoloji Laboratuvarý,41.00982681000005,28.94537139100004
Karagün Týbbi Malzemeleri,41.01213607500006,28.94049785000004
Ýstanbul Eðitim ve Araþtýrma Hastanesi,41.00307391800004,28.93830032300008
Meridyen Medikal,41.01358820100006,28.942349974000024
Türk Kýzýlayý Fatih Þubesi,41.01614603100006,28.950806443000037
Ýstanbul Üniversitesi Mediko Sosyal Merkezi,41.01420995700005,28.96192372400003
ÝBB Fatih Hayvan Hastanesi,41.016744440000025,28.95371646800004
Demir Medikal,41.00512297100005,28.94339993400007
Silivri Ana Çocuk Saðlýðý ve Aile Planlama Merkezi,41.08763881300007,28.243108652000046
Ýhsaniye Zehra Akdoðan Aile Saðlýðý Merkezi,41.25199050500004,28.36504144600008
Bahçeköy Veteriner Kliniði,41.16950234900003,28.99076315700006
Özel Büyükdere Kadýn Hastalýklarý Merkezi,41.15920616000005,29.038530257000048
Uzmanlar Veteriner Kliniði,41.140741708000064,28.463822709000056
PTT Evleri Aile Saðlýðý Merkezi,41.15566516100006,29.02305938800004
Silivri 5 Nolu Cezaevi Aile Saðlýðý Merkezi,41.08706288500008,28.14920465000006
Özel Denta Vita Aðýz ve Diþ Saðlýðý Polikliniði,41.16734782200007,29.05711268400006
Aktif Ýnter Optik,40.99253972100007,29.029830782000037
Happy Vet Veteriner Kliniði,41.05705365200004,28.78646913500006
Anaconda Veteriner Kliniði,40.98110536400003,29.082053736000034
Zeynebiye Aile Saðlýðý Merkezi,41.03391342500004,28.80325556400004
Sahil Veteriner Hizmetleri,40.96107223800004,29.07600820300007
Özel Universal Hospital Grup Ýtalyan Giovanni Alberto Agnelli Hastanesi,41.02878151800007,28.981433079000052
Tuzla Merkez Aile Saðlýðý Merkezi,40.82119848900004,29.30831433700007
Þile Ana Çocuk Saðlýðý ve Aile Planlama Merkezi,41.17327560200005,29.607081359000063
Kartal Koþuyolu Yüksek Ýhtisas Eðitim ve Araþtýrma Hastanesi,40.91582445900008,29.17170435600008
Özel Ýac Ýstanbul Aesthetic Týp Merkezi,41.06918643200004,29.00658198800005
Özel Boðazköy Þifa Saðlýk Evi,41.18492590100004,28.76044483400005
